ID,A_HGA
1,0
2,44
3,43
4,39
5,0
6,43
7,39
8,43
9,0
10,0
11,43
12,43
13,43
14,39
15,0
16,0
17,39
18,43
19,43
20,43
21,43
22,0
23,0
24,43
25,43
26,0
27,0
28,44
29,43
30,0
31,0
32,43
33,0
34,39
35,43
36,39
37,39
38,0
39,0
40,39
41,43
42,39
43,39
44,39
45,39
46,0
47,43
48,43
49,43
50,39
51,0
52,39
53,43
54,43
55,39
56,39
57,44
58,43
59,39
60,43
61,39
62,39
63,39
64,39
65,0
66,0
67,43
68,39
69,43
70,39
71,43
72,39
73,43
74,0
75,0
76,39
77,39
78,39
79,43
80,43
81,43
82,43
83,39
84,43
85,0
86,0
87,0
88,0
89,0
90,0
91,39
92,43
93,39
94,39
95,43
96,43
97,43
98,43
99,43
100,39
101,0
102,0
103,0
104,43
105,43
106,43
107,43
108,39
109,43
110,0
111,0
112,0
113,43
114,43
115,39
116,44
117,39
118,39
119,43
120,0
121,39
122,43
123,0
124,0
125,39
126,43
127,43
128,36
129,0
130,39
131,44
132,43
133,0
134,43
135,39
136,0
137,44
138,39
139,0
140,0
141,43
142,43
143,39
144,0
145,39
146,43
147,43
148,39
149,0
150,43
151,39
152,39
153,43
154,39
155,39
156,0
157,43
158,39
159,43
160,39
161,39
162,39
163,39
164,39
165,43
166,43
167,43
168,39
169,0
170,39
171,43
172,43
173,43
174,39
175,39
176,39
177,43
178,43
179,39
180,39
181,39
182,39
183,39
184,39
185,43
186,44
187,39
188,0
189,39
190,39
191,43
192,39
193,43
194,39
195,39
196,43
197,43
198,39
199,39
200,39
201,39
202,39
203,39
204,39
205,39
206,39
207,43
208,43
209,39
210,43
211,39
212,39
213,43
214,39
215,43
216,43
217,0
218,43
219,0
220,43
221,43
222,43
223,39
224,39
225,39
226,39
227,39
228,39
229,0
230,43
231,39
232,39
233,39
234,39
235,43
236,43
237,39
238,39
239,43
240,43
241,43
242,0
243,0
244,0
245,43
246,39
247,39
248,39
249,44
250,43
251,39
252,39
253,39
254,39
255,39
256,39
257,43
258,39
259,39
260,43
261,39
262,39
263,39
264,43
265,43
266,36
267,0
268,0
269,39
270,39
271,39
272,39
273,39
274,43
275,39
276,39
277,39
278,43
279,39
280,39
281,39
282,0
283,39
284,39
285,39
286,39
287,39
288,39
289,39
290,39
291,0
292,39
293,0
294,39
295,43
296,43
297,0
298,0
299,39
300,43
301,0
302,0
303,0
304,0
305,39
306,39
307,43
308,43
309,43
310,43
311,39
312,39
313,43
314,43
315,0
316,43
317,43
318,43
319,43
320,43
321,43
322,39
323,43
324,39
325,44
326,43
327,43
328,43
329,0
330,43
331,43
332,39
333,0
334,39
335,39
336,43
337,43
338,43
339,0
340,0
341,43
342,43
343,43
344,43
345,43
346,0
347,0
348,39
349,39
350,39
351,0
352,39
353,39
354,39
355,39
356,39
357,43
358,43
359,43
360,43
361,43
362,43
363,0
364,43
365,39
366,39
367,39
368,39
369,39
370,39
371,39
372,39
373,39
374,0
375,39
376,39
377,39
378,39
379,39
380,39
381,43
382,39
383,0
384,0
385,43
386,39
387,39
388,39
389,43
390,0
391,0
392,39
393,43
394,39
395,44
396,39
397,43
398,39
399,39
400,43
401,0
402,0
403,43
404,43
405,0
406,43
407,39
408,43
409,43
410,0
411,39
412,39
413,39
414,39
415,39
416,43
417,43
418,39
419,39
420,43
421,43
422,43
423,39
424,39
425,39
426,43
427,43
428,43
429,43
430,43
431,39
432,39
433,43
434,39
435,43
436,39
437,39
438,43
439,39
440,39
441,39
442,39
443,39
444,39
445,43
446,43
447,43
448,39
449,43
450,43
451,43
452,39
453,0
454,43
455,39
456,0
457,0
458,39
459,44
460,36
461,43
462,39
463,43
464,43
465,0
466,0
467,0
468,43
469,43
470,39
471,43
472,39
473,43
474,39
475,43
476,43
477,39
478,44
479,39
480,43
481,43
482,43
483,0
484,39
485,39
486,43
487,43
488,43
489,0
490,39
491,43
492,43
493,39
494,0
495,39
496,39
497,39
498,39
499,43
500,43
501,44
502,43
503,0
504,43
505,43
506,39
507,43
508,39
509,39
510,43
511,43
512,39
513,44
514,43
515,43
516,43
517,43
518,0
519,39
520,39
521,39
522,43
523,39
524,43
525,39
526,43
527,39
528,44
529,0
530,0
531,39
532,0
533,0
534,0
535,43
536,43
537,43
538,39
539,39
540,43
541,0
542,0
543,0
544,0
545,39
546,43
547,43
548,39
549,39
550,39
551,39
552,0
553,0
554,39
555,0
556,0
557,43
558,43
559,39
560,43
561,39
562,39
563,39
564,43
565,43
566,0
567,39
568,0
569,43
570,0
571,0
572,43
573,0
574,0
575,39
576,0
577,0
578,43
579,43
580,0
581,0
582,39
583,39
584,44
585,43
586,0
587,0
588,39
589,39
590,39
591,44
592,39
593,0
594,0
595,39
596,43
597,43
598,39
599,39
600,44
601,43
602,0
603,0
604,43
605,0
606,0
607,39
608,39
609,43
610,43
611,39
612,44
613,39
614,44
615,43
616,39
617,39
618,43
619,39
620,39
621,43
622,0
623,0
624,39
625,44
626,43
627,43
628,39
629,43
630,39
631,39
632,39
633,39
634,44
635,43
636,39
637,0
638,43
639,44
640,43
641,0
642,44
643,43
644,43
645,39
646,43
647,43
648,39
649,43
650,39
651,43
652,43
653,43
654,0
655,0
656,39
657,43
658,43
659,44
660,39
661,0
662,0
663,0
664,39
665,39
666,43
667,39
668,39
669,43
670,0
671,0
672,39
673,39
674,43
675,43
676,0
677,44
678,39
679,43
680,43
681,39
682,0
683,0
684,39
685,39
686,39
687,39
688,39
689,39
690,39
691,43
692,43
693,39
694,0
695,0
696,0
697,44
698,43
699,43
700,39
701,39
702,39
703,39
704,39
705,43
706,0
707,0
708,0
709,39
710,39
711,39
712,39
713,39
714,39
715,39
716,39
717,39
718,39
719,39
720,39
721,0
722,0
723,0
724,0
725,43
726,43
727,0
728,43
729,39
730,43
731,43
732,39
733,43
734,44
735,43
736,39
737,0
738,0
739,39
740,43
741,0
742,0
743,0
744,0
745,43
746,43
747,39
748,43
749,0
750,0
751,0
752,39
753,0
754,0
755,43
756,43
757,43
758,39
759,0
760,43
761,43
762,43
763,43
764,43
765,0
766,0
767,43
768,39
769,0
770,0
771,39
772,39
773,39
774,39
775,39
776,0
777,0
778,43
779,39
780,43
781,39
782,39
783,39
784,39
785,43
786,0
787,0
788,0
789,39
790,43
791,39
792,43
793,43
794,39
795,43
796,39
797,39
798,43
799,0
800,43
801,43
802,43
803,43
804,39
805,39
806,39
807,43
808,43
809,43
810,43
811,43
812,44
813,39
814,0
815,0
816,0
817,39
818,43
819,39
820,43
821,0
822,0
823,39
824,43
825,43
826,43
827,43
828,43
829,39
830,0
831,39
832,39
833,39
834,43
835,43
836,43
837,39
838,39
839,39
840,43
841,43
842,0
843,39
844,43
845,43
846,39
847,39
848,39
849,39
850,43
851,43
852,43
853,39
854,39
855,0
856,0
857,43
858,43
859,0
860,0
861,0
862,0
863,39
864,43
865,39
866,39
867,43
868,43
869,43
870,0
871,0
872,39
873,43
874,39
875,43
876,43
877,43
878,39
879,43
880,43
881,39
882,39
883,43
884,39
885,39
886,43
887,39
888,39
889,44
890,43
891,43
892,39
893,39
894,43
895,39
896,43
897,39
898,0
899,0
900,0
901,0
902,39
903,39
904,43
905,43
906,43
907,43
908,0
909,39
910,43
911,43
912,43
913,0
914,0
915,39
916,43
917,39
918,39
919,43
920,39
921,43
922,39
923,39
924,39
925,43
926,39
927,43
928,43
929,43
930,43
931,43
932,43
933,39
934,39
935,43
936,43
937,39
938,39
939,43
940,43
941,43
942,39
943,43
944,43
945,0
946,0
947,39
948,43
949,43
950,39
951,39
952,43
953,39
954,43
955,39
956,0
957,39
958,43
959,39
960,39
961,43
962,43
963,43
964,39
965,39
966,43
967,39
968,39
969,43
970,0
971,0
972,39
973,43
974,43
975,43
976,43
977,43
978,39
979,43
980,39
981,43
982,39
983,0
984,0
985,0
